报告年份,原始文件,年度文件内行号,段内对齐序号,全局对齐序号,中文,英文,中文句数,英文句数,对齐类型,对齐成本,中文字符数,英文词数,英中长度比例,是否需要人工复核,问题类型,清洗说明,原始中文,原始英文,中文清洗动作,英文清洗动作
2024,01_report_2024.csv,2,1,2,现在，我代表国务院，向大会报告政府工作，请予审议，并请全国政协委员提出意见。,"On behalf of the State Council, I will now report to you on the work of the government for your deliberation and also for comments from members of the National Committee of the Chinese People's Political Consultative Conference (CPPCC).",1,1,1-1,0.0,38,39,1.0263,False,,无需自动清洗 | 无需自动清洗,现在，我代表国务院，向大会报告政府工作，请予审议，并请全国政协委员提出意见。,"On behalf of the State Council, I will now report to you on the work of the government for your deliberation and also for comments from members of the National Committee of the Chinese People's Political Consultative Conference (CPPCC).",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,3,1,3,一、2023年工作回顾,I. A Review of Our Work in 2023,1,2,1-2,0.15,11,7,0.6364,False,,无需自动清洗 | 无需自动清洗,一、2023年工作回顾,I. A Review of Our Work in 2023,无需自动清洗,无需自动清洗
2024,01_report_2024.csv,5,1,4,——经济总体回升向好。,— Overall economic recovery and growth were boosted.,1,1,1-1,0.062,11,7,0.6364,False,,无需自动清洗 | 无需自动清洗,——经济总体回升向好。,— Overall economic recovery and growth were boosted.,无需自动清洗,无需自动清洗
2024,01_report_2024.csv,5,2,5,国内生产总值超过126万亿元，增长5.2%，增速居世界主要经济体前列。,"China's gross domestic product (GDP) surpassed 126 trillion yuan, an increase of 5.2 percent, ranking China among the fastest-growing major economies in the world.",1,1,1-1,0.0743,35,22,0.6286,False,,无需自动清洗 | 无需自动清洗,国内生产总值超过126万亿元，增长5.2%，增速居世界主要经济体前列。,"China's gross domestic product (GDP) surpassed 126 trillion yuan, an increase of 5.2 percent, ranking China among the fastest-growing major economies in the world.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,5,3,6,城镇新增就业1244万人，城镇调查失业率平均为5.2%。,"A total of 12.44 million urban jobs were added, and the average surveyed urban unemployment rate stood at 5.2 percent.",1,1,1-1,0.0519,28,18,0.6429,False,,无需自动清洗 | 无需自动清洗,城镇新增就业1244万人，城镇调查失业率平均为5.2%。,"A total of 12.44 million urban jobs were added, and the average surveyed urban unemployment rate stood at 5.2 percent.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,5,4,7,居民消费价格上涨0.2%。国际收支基本平衡。,The consumer price index (CPI) rose by 0.2 percent. A basic equilibrium was maintained in the balance of payments.,2,2,2-2,0.4893,22,18,0.8182,False,,无需自动清洗 | 无需自动清洗,居民消费价格上涨0.2%。国际收支基本平衡。,The consumer price index (CPI) rose by 0.2 percent. A basic equilibrium was maintained in the balance of payments.,无需自动清洗,无需自动清洗
2024,01_report_2024.csv,6,1,8,——现代化产业体系建设取得重要进展。,— Significant progress was made in building a modernized industrial system.,1,1,1-1,0.107,18,10,0.5556,False,,无需自动清洗 | 无需自动清洗,——现代化产业体系建设取得重要进展。,— Significant progress was made in building a modernized industrial system.,无需自动清洗,无需自动清洗
2024,01_report_2024.csv,6,2,9,传统产业加快转型升级，战略性新兴产业蓬勃发展，未来产业有序布局，先进制造业和现代服务业深度融合，一批重大产业创新成果达到国际先进水平。,"Traditional industries saw accelerated transformation and upgrading, strategic emerging industries achieved vigorous growth, and ground work was laid for developing industries of the future. Advanced manufacturing was further integrated with modern services, and a number of world-class innovations were made in major industries.",1,2,1-2,0.1873,67,43,0.6418,False,,无需自动清洗 | 无需自动清洗,传统产业加快转型升级，战略性新兴产业蓬勃发展，未来产业有序布局，先进制造业和现代服务业深度融合，一批重大产业创新成果达到国际先进水平。,"Traditional industries saw accelerated transformation and upgrading, strategic emerging industries achieved vigorous growth, and ground work was laid for developing industries of the future. Advanced manufacturing was further integrated with modern services, and a number of world-class innovations were made in major industries.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,6,3,10,国产大飞机C919投入商业运营，国产大型邮轮成功建造，新能源汽车产销量占全球比重超过60%。,"C919, a homemade airliner, went into commercial operation, and a domestically-built large cruise ship was delivered. China accounted for over 60 percent of global electric vehicle output and sales.",1,2,1-2,0.1657,46,28,0.6087,False,,无需自动清洗 | 无需自动清洗,国产大飞机C919投入商业运营，国产大型邮轮成功建造，新能源汽车产销量占全球比重超过60%。,"C919, a homemade airliner, went into commercial operation, and a domestically-built large cruise ship was delivered. China accounted for over 60 percent of global electric vehicle output and sales.",无需自动清洗,无需自动清洗
2024,01_report_2024.csv,7,1,11,——科技创新实现新的突破。国家实验室体系建设有力推进。,— New breakthroughs were made in scientific and technological innovation. We made major headway in establishing a system of national laboratories and achieved fruitful results in developing core technologies in key fields.,2,2,2-2,0.7395,27,31,1.1481,False,,无需自动清洗 | 无需自动清洗,——科技创新实现新的突破。国家实验室体系建设有力推进。,— New breakthroughs were made in scientific and technological innovation. We made major headway in establishing a system of national laboratories and achieved fruitful results in developing core technologies in key fields.,无需自动清洗,无需自动清洗
