报告年份,原始文件,年度文件内行号,段内对齐序号,全局对齐序号,中文,英文,中文句数,英文句数,对齐类型,对齐成本,中文字符数,英文词数,英中长度比例,是否需要人工复核,问题类型,清洗说明,原始中文,原始英文,中文清洗动作,英文清洗动作
2025,02_report_2025.csv,1,1,1,各位代表：,"Fellow Deputies,",1,1,1-1,0.0,5,2,0.4,False,,无需自动清洗 | 无需自动清洗,各位代表：,"Fellow Deputies,",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,2,1,2,现在，我代表国务院，向大会报告政府工作，请予审议，并请全国政协委员提出意见。,"On behalf of the State Council, I will now report to you on the work of the government for your deliberation and also for comments from members of the National Committee of the Chinese People's Political Consultative Conference (CPPCC).",1,1,1-1,0.0,38,39,1.0263,False,,无需自动清洗 | 无需自动清洗,现在，我代表国务院，向大会报告政府工作，请予审议，并请全国政协委员提出意见。,"On behalf of the State Council, I will now report to you on the work of the government for your deliberation and also for comments from members of the National Committee of the Chinese People's Political Consultative Conference (CPPCC).",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,3,1,3,一、2024年工作回顾,I. A Review of Our Work in 2024,1,2,1-2,0.15,11,7,0.6364,False,,无需自动清洗 | 无需自动清洗,一、2024年工作回顾,I. A Review of Our Work in 2024,无需自动清洗,无需自动清洗
2025,02_report_2025.csv,4,1,4,过去一年，我国发展历程很不平凡。,"The year 2024 was a truly remarkable year in China's development journey. At its third plenary session, the 20th Central Committee of the Communist Party of China (CPC) set forth plans for further deepening reform comprehensively to advance Chinese modernization.",1,2,1-2,1.3216,16,39,2.4375,False,,无需自动清洗 | 无需自动清洗,过去一年，我国发展历程很不平凡。,"The year 2024 was a truly remarkable year in China's development journey. At its third plenary session, the 20th Central Committee of the Communist Party of China (CPC) set forth plans for further deepening reform comprehensively to advance Chinese modernization.",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,4,2,5,党的二十届三中全会胜利召开，对进一步全面深化改革、推进中国式现代化作出部署。,"We celebrated the 75th anniversary of the founding of the People's Republic of China, greatly inspiring patriotism and dedication in the Chinese people of all ethnic groups. Over the past year, in the face of complex and challenging developments marked by mounting external pressures and growing domestic difficulties, we, the Chinese people of all ethnic groups, have overcome difficulties and continued to forge ahead under the strong leadership of the CPC Central Committee with Comrade Xi Jinping at its core.",1,2,1-2,1.1751,38,80,2.1053,False,,无需自动清洗 | 无需自动清洗,党的二十届三中全会胜利召开，对进一步全面深化改革、推进中国式现代化作出部署。,"We celebrated the 75th anniversary of the founding of the People's Republic of China, greatly inspiring patriotism and dedication in the Chinese people of all ethnic groups. Over the past year, in the face of complex and challenging developments marked by mounting external pressures and growing domestic difficulties, we, the Chinese people of all ethnic groups, have overcome difficulties and continued to forge ahead under the strong leadership of the CPC Central Committee with Comrade Xi Jinping at its core.",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,4,3,6,我们隆重庆祝中华人民共和国成立75周年，极大激发了全国各族人民的爱国热情和奋斗精神。,We ensured overall stable performance and steady growth of the economy and accomplished the main goals and tasks for economic and social development in 2024. Solid headway was made in pursuing high-quality development and fostering new quality productive forces.,1,2,1-2,0.3305,42,38,0.9048,False,,无需自动清洗 | 无需自动清洗,我们隆重庆祝中华人民共和国成立75周年，极大激发了全国各族人民的爱国热情和奋斗精神。,We ensured overall stable performance and steady growth of the economy and accomplished the main goals and tasks for economic and social development in 2024. Solid headway was made in pursuing high-quality development and fostering new quality productive forces.,无需自动清洗,无需自动清洗
2025,02_report_2025.csv,4,4,7,一年来，面对外部压力加大、内部困难增多的复杂严峻形势，在以习近平同志为核心的党中央坚强领导下，全国各族人民砥砺奋进、攻坚克难，经济运行总体平稳、稳中有进，全年经济社会发展主要目标任务顺利完成，高质量发展扎实推进，新质生产力稳步发展，我国经济实力、科技实力、综合国力持续增强，中国式现代化迈出新的坚实步伐，更加坚定了我们在新时代新征程全面建设社会主义现代化国家的决心和信心。,"China's economic strength, scientific and technological capabilities, and composite national strength continued to rise, and solid new strides were made in advancing Chinese modernization. These achievements have filled us with even greater confidence and resolve as we press forward on the new journey to build a modern socialist country in all respects in the new era.",1,2,1-2,1.0698,186,56,0.3011,False,,无需自动清洗 | 无需自动清洗,一年来，面对外部压力加大、内部困难增多的复杂严峻形势，在以习近平同志为核心的党中央坚强领导下，全国各族人民砥砺奋进、攻坚克难，经济运行总体平稳、稳中有进，全年经济社会发展主要目标任务顺利完成，高质量发展扎实推进，新质生产力稳步发展，我国经济实力、科技实力、综合国力持续增强，中国式现代化迈出新的坚实步伐，更加坚定了我们在新时代新征程全面建设社会主义现代化国家的决心和信心。,"China's economic strength, scientific and technological capabilities, and composite national strength continued to rise, and solid new strides were made in advancing Chinese modernization. These achievements have filled us with even greater confidence and resolve as we press forward on the new journey to build a modern socialist country in all respects in the new era.",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,5,5,12,重点领域风险化解有序有效，社会大局保持稳定。,"Well-ordered and effective steps were taken to defuse risks in key areas, helping ensure overall social stability.",1,1,1-1,0.1995,22,17,0.7727,False,,无需自动清洗 | 无需自动清洗,重点领域风险化解有序有效，社会大局保持稳定。,"Well-ordered and effective steps were taken to defuse risks in key areas, helping ensure overall social stability.",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,6,2,14,高技术制造业、装备制造业增加值分别增长8.9%、7.7%，新能源汽车年产量突破1300万辆；,"The value added of high-tech manufacturing and equipment manufacturing rose by 8.9 percent and 7.7 percent respectively, and the output of new-energy vehicles passed the 13 million mark.",1,1,1-1,0.1998,46,25,0.5435,False,,无需自动清洗 | 无需自动清洗,高技术制造业、装备制造业增加值分别增长8.9%、7.7%，新能源汽车年产量突破1300万辆；,"The value added of high-tech manufacturing and equipment manufacturing rose by 8.9 percent and 7.7 percent respectively, and the output of new-energy vehicles passed the 13 million mark.",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,6,3,15,信息传输软件和信息技术服务业、租赁和商务服务业增加值分别增长10.9%、10.4%。,"The value added increased by 10.9 percent in the sectors of information transmission, software, and IT services and by 10.4 percent in leasing and business services.",1,1,1-1,0.1497,42,24,0.5714,False,,无需自动清洗 | 无需自动清洗,信息传输软件和信息技术服务业、租赁和商务服务业增加值分别增长10.9%、10.4%。,"The value added increased by 10.9 percent in the sectors of information transmission, software, and IT services and by 10.4 percent in leasing and business services.",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,6,5,17,“嫦娥六号”实现人类首次月球背面采样返回，“梦想”号大洋钻探船建成入列；,"The Chang'e-6 mission completed humanity's first-ever sample collection from the far side of the moon, and the Mengxiang ocean drilling vessel was delivered and commissioned.",1,1,1-1,0.0453,36,25,0.6944,False,,无需自动清洗 | 无需自动清洗,“嫦娥六号”实现人类首次月球背面采样返回，“梦想”号大洋钻探船建成入列；,"The Chang'e-6 mission completed humanity's first-ever sample collection from the far side of the moon, and the Mengxiang ocean drilling vessel was delivered and commissioned.",无需自动清洗,无需自动清洗
2025,02_report_2025.csv,6,6,18,技术合同成交额增长11.2%。,The value of technology contract transactions increased by 11.2 percent.,1,1,1-1,0.1009,15,9,0.6,False,,无需自动清洗 | 无需自动清洗,技术合同成交额增长11.2%。,The value of technology contract transactions increased by 11.2 percent.,无需自动清洗,无需自动清洗
